reviewId,content,score,sentiment
c2335f01-6f73-45ad-b63c-8e9f0893d206,levels cant pass without buying extra lives days,2,neutral
0e90adc9-3600-45a5-b8a8-6e7b78b09123,swipe stress away stress gets higher,1,positivo
b9bfd8fe-a903-45fb-9a64-d1cc81d30f57,bhai mobile network connection error bta rha h,5,neutral
a49349c9-9a2f-484d-8c7a-5d4bf979aebd,fun fun better matchmaking games daggum great eatin put left foot take left foot put left foot shake need free stuff still still 0 much fun,4,positivo
086fb4d0-cf46-410e-93d1-089da639ba31,good game entertaining fun play,5,positivo
bce2f859-0d1d-491f-b1fb-114415182b98,cant beat original candy crush,5,positivo
be77ccc5-fe77-4a1d-b931-3398e7d83646,game gave relax playing enjoying,4,positivo
ac64ca4f-dba6-407d-bbc6-0116c4442da1,wish side games events earn extras golf like soda crush,4,neutral
7ee916c7-1b6b-4a1a-861b-faf0564c0aa6,love game challenging fun play,5,positivo
233c8629-b5fd-4bfd-b6e7-862628451900,last night made purchase use 10 coins try gamed glitched replay level anyway,5,neutral
5c67640b-9e9a-4d77-92ee-5ac2477596d8,like game using 5 years,5,negativo
207ccdba-8d31-42ba-96c2-9c4bf125f8f2,enjoy playing every day get playing,5,positivo
baf8f247-ec1e-481c-a270-91b8dc4f5683,fun frustrating time keep mind busy im bored frustrated highly recommend game keeping mind sharp old age wont lie lil addictive thats fair warning challenging frustrating time game crazy real,5,negativo
a47ac299-e0e2-4c60-8c8f-dd4607c04902,would like acumulate lives 5,5,neutral
6e92456c-b4bb-4e7a-b989-5010ea5c8a86,purchased small package difficult level game started someone needs contact asap post livesboostersetc 372025 game starts end game made purchase starts im purchasing boosters win game round need help asap,1,negativo
acd3d878-ea50-49f8-83ef-1215ce7f0ff1,addicting best game ever besides spyro hogwarts legacy resident evil 4 ps5 planet coaster 1 2 non people cant beat,5,negativo
8bada9a4-77a9-4fd7-a6cc-3e52e735e1c4,finish race 1st game stuck many times,2,positivo
b129b334-4fe0-4406-9027-e93fd065063f,years still improved glitchy uninstall reinstall cant find boosters cant save game google play moves lesser please try improve game,1,negativo
2dc50219-2723-4fec-a843-acab1539f26a,long time player quit dont pay get untimely glitches progress halted ba bye,1,negativo
0c31fef2-5613-47f1-af4b-b8970f389624,going stop playing game also complaint company indian authority take strict action bcz company scam totally possible time game wifi show different weekend offer friend type bad business practice fooling people like,1,negativo
5de1eea1-70e5-4e1d-84cf-c0f6cb3200c3,love frustrating timesbut enjoyable,5,positivo
54e29c40-8f14-42bc-b813-6ddcb6aa3c80,good game really loved dont wifi dont worry canday crush provide wifi game relax crush candy,5,positivo
5ef38a9a-6a2f-4698-830b-a7aa48a36b98,candy crush gd game truly relieves stress anytime anywhere,5,negativo
73fa9f0f-c68f-4bd9-b3d7-fd52be7c8cf1,gets point cant win,5,positivo
1eefa528-5daf-491a-abc8-8a30010b4896,game amazing time pass game owner thanks game lonch,5,negativo
127f878c-4ff1-402b-ada8-e37e7c8fb99c,game kicked glitches reopen,2,negativo
309435b0-a14f-4a22-939b-96ee3c763c8a,encourage everyone download never get bored,4,negativo
6a103b1e-9bc8-40ea-914f-c090d914c712,aaj kal bahut lambe ad dikha rahe ho kya hai tuchche gamen ai batao,4,neutral
7a04f44d-8ef4-4bf0-99f5-792461dc832d,good one time killing,4,positivo
97b68849-367e-4cb0-9b3a-08c250f57421,love game great passing time,5,positivo
7a07a054-9dcd-4372-9439-eba81456091c,theyve added way many things game one move whole screen starts exploding 5 minutes,2,positivo
34201524-2c8f-4b0e-8753-79a8375a5a1d,besr game better minecraft,5,positivo
b0c424ca-5380-4cd4-9847-2f7675a579db,full fun game 10shn free game fighting finding fun,5,positivo
d7838963-4f62-43aa-b45b-a74d3fa8f83d,nyc game great fun,5,positivo
574f0553-c685-49f0-ae8d-334441739c29,takes away stress great game,5,positivo
1a7b79de-663c-4d29-9414-669d69680ccc,game make time go tbh,4,negativo
911f5ffa-8646-48ee-9889-40ad0e984ec2,uninstall new updates new updates looks good seems slow game phone actually play anymore,3,positivo
9d8c5f75-775e-4fc0-b7e4-fde931ad60fd,great game fabulous super special day,5,positivo
17f62dbf-29b0-4891-83a2-2b5a40455889,love everything candy crush games,5,positivo
84f6b150-b916-4f33-88fe-7ceb82bc8fdc,nice time pas apps,5,positivo
c51d008a-1aa8-452c-8446-2843b110a1be,ms dhoni play game download love dhoni sir,5,positivo
38502fe4-0260-4830-95ac-de90b94fdb9e,nice game mother makes learn enjoy lot,5,positivo
dde465b2-3f85-4dde-b05c-3d7de6fe837e,keeps calm stress free,5,positivo
db11934d-7086-49a2-b339-68569adfbd9b,changes making annoying swedish fish useless cookies going randomly making game less fun squeeze money,2,negativo
c0d4b3c1-e47d-4702-95d6-f9be8d53edec,7780 level hv playing game since long purchase people mean stopped giving advertising rewards thy want purchase everytime wrong,1,negativo
108c5f7e-a553-4cc3-93b6-3d4eb5fbae78,slow working 9k levels,3,negativo
a55419d6-e5e5-4072-8268-dafd4f28fe71,nice game wonderful game love candy crush saga,5,positivo
2f58b4a1-aa79-4c2a-bbea-9c702665c23c,gotten horrible officially pay play 13 years playing enjoyable experience anymore,1,negativo
f8399f90-e302-4d6d-ae2d-b0e6348d3d3f,good game strengthen mind awesome,5,positivo
6fac0677-0c56-4884-a281-ac65d4c91c30,bahut hi badhiya hai ye gem good,5,positivo
2c763b07-d3ce-4c8a-b42f-007686ffb4f5,levels super hard get past fish helpful job properly game time uninstall game,1,negativo
d9991ae9-6c6a-4d4f-84a4-2bf3baf1bbd7,thats great sometimes level took time last everything fantastic,4,positivo
15dbd6f7-d2a3-4cd9-a991-e5cda33cb79e,nice game addictive played long,5,positivo
69f9d12e-27b4-44c5-87c1-20f93710f432,support staff help everything suggested game still read connection reinstall 2nd time installed game first time similar experience create game know fix recommend waste time money,1,negativo
03a8728f-a4cd-4e53-88b1-acc4a9834eb3,terrible cant download game keeps telling theres error,1,negativo
83d72ec5-59a6-4352-bc4e-9b6335536817,suprb game always play,5,negativo
13f725b7-703e-466a-93b0-6a133ec98c38,super excited playing game experience amazing cant stop playing,5,positivo
89d216bb-4231-4ce2-8873-6c6761b97802,good game make time better enjoy able thanku,5,positivo
76deb4dd-5607-40ee-b3a3-a120eca447f1,lovely game relaxing fun,5,positivo
425ffdb3-b10a-4355-8a1a-c7259828f4c2,good fun excersices brain,5,positivo
8a51ccf8-fe89-4840-8fa2-5446e8e41c31,game wonderful entertaining passed 600above levels gold bars jackpot rewards shared others dont want share rewards pls look tat thank u,5,positivo
01e2b964-74fe-45a6-bc8b-f2305cb027b5,want make dolar playing candy crush saga,5,neutral
45396c82-06f0-495b-b45b-43d0237e86bf,nice game 10000 stages forgot account password cant access app friend tell recover,5,positivo
753470ad-8804-4012-aee9-deac44053e73,love game super fun exciting,5,positivo
c7ff81ac-99cc-411e-902a-3266ba541004,anyone even read action playing game 10years totally love recently become annoying firstly hard levels hardhard super hard night marishly hard love god game doesnt end sight take hard levels better still give us option moves currently level 5298 15 moves crack level king please fix issue,1,negativo
9215774d-0bba-4c0e-ac21-ae8525114d7d,favourite gamelove challenge levelsnow gotta buy second fone game,5,negativo
c19ed1f6-27d5-426c-bdd2-2b946934b840,game good enjoying playing game,5,positivo
bc8e9fbe-9a48-4f3a-aa0f-4899b5a706fd,life time much many adds download,1,positivo
6f0d95fd-d797-464b-94f9-dbc1618ce314,uninstalled game cheats get money,1,negativo
1a4f5b26-eed0-473a-8667-a9443cb25a53,best game ever interesting levels,5,positivo
ac88a7a7-84d7-4289-b398-58d5a0c55d4a,great addictive game never get items win spin wheel pay lives dont get,3,positivo
9566c4ae-d91c-43cb-8f72-7ff85301a4c4,bohat acha game hai unke liye jinke pas kam dhandha nahi hai,5,negativo
41d5ae8b-b357-4c5a-ac40-f03b3ea8f28d,great game little ads,5,positivo
3319b932-6339-42a7-af53-d68a271c872c,good game honestly helps sleep,5,positivo
2989bd86-e41b-4e69-8166-e18056b381fa,faulty game glitch chocolate box able remove,1,positivo
444edc6d-abe5-423d-8c27-b33252049186,great stress relief working ot nursing home,5,positivo
ad0325bd-06bb-4f75-a1a6-9b80bc661e0e,game fun literally forces spend actual money beat certain levels fiance sick level 5 days ridiculous sad fowl guys havent even given ability watch ads help beat level want money stuck longer ill uninstall go play something elsewhere,1,negativo
2e39570d-f5aa-46ef-bfa0-0b1379da28cb,always get addicted game,5,negativo
1a227f52-7408-41b4-b37a-4fc3bf0d345f,levels near impossible win dont extras put money,3,positivo
ede9e0e2-d644-4a81-a8be-28536dc112ac,good morelooks like knowingly reduced minimum required number moveit become irritating,1,positivo
ebcff19d-656f-4556-b8a4-fbb3297bd384,great fun never stop playingnice graphic easy playgreat gameenjoyed game muchl love graphic less adscompared others really love gamedefinitely great fun gameawesome gamenever stop playingsuper cool game playdefinitely fun game,5,positivo
7093a7f9-7406-4dc3-acc3-b00cbc3a5984,best relax game ever,5,positivo
754247cf-9a90-4afb-9fda-bab9043aac41,ga bisa beli sesuatu menggunakan balok emas edit ga bisa beli sesuatu padahal punya balok emas,2,neutral
67b1b7a2-8653-4239-b647-ed48e108fd0e,awesome game also highly recommend game friend family well totally awesome,5,positivo
57166444-cd0c-44dd-b2fe-f1027344c1e5,sometimes toughness impossibilities created,3,neutral
de060409-e798-48b4-91d0-25c8d80b09bc,fun first spent money changed every 810 levels get stuck finish guess spending money fish improvements joke go unnecessary areas board dont help game motto swipe stress away anymore dont mind spending money welldesigned game dont like continue playing,2,negativo
86e01104-6b70-4936-abe3-aabbc8933582,amazing though theres difficult levels helps boost brain hard levels,4,negativo
2acaad43-d32a-4bbf-97b4-c5e78526529e,love game alot would love better rewards,5,positivo
c3e30755-1dd2-452d-ba15-648e516033ca,worst game purchased gold bars showing connection errors amount deducted cheap app fraud app,1,negativo
9467e028-e391-43a1-850e-7604644aa220,made game worsen recent update especially fish part got worst hard get gold bars along booster game getting worse update,1,negativo
3a49b52b-649d-48b0-bab3-823f79c99c30,believe game could better wasnt money hungry thats games days unfortunately,5,negativo
5bba96d5-7ef6-46d8-bedb-f6907f39be9c,fun nobodygetshurt fun simple bugs biggiestill relaxing fun yearsstill,5,positivo
77a73126-e398-4eff-9384-c10cafa10740,great game im really fun,5,positivo
ca757f48-5a36-4d7d-ae85-228013dbd138,suka error tailah padahal udah menang eh error jd keluar apl nyawa ilang sialan,2,neutral
89085d76-183a-4aac-a2bf-c35cd33282f0,love challenge different ways playing levels,5,positivo
169cf9c9-598e-440e-9009-1a484b576614,many mix candys good candys,5,positivo
560b6a45-81b3-4760-9575-9b42eade3187,honestly game unique technical,5,negativo
7902c74f-2a46-4f14-aaf7-80c255d419ff,nice game played ever,5,positivo
edf8b5b9-979c-4698-8aab-2bdad8b893d0,excellent game sometimes hard,5,positivo
86ff3c31-8ef3-4acc-958d-1093c9dcefe2,sometimes rewards get dont show,4,neutral
3e948ccd-cfcb-4a2f-8695-edf1bc0943fa,fun game relaxing chilling,5,negativo
f77895db-0d36-4c7b-bd9b-b8ba074c585e,excellent game excitingfull sugar,5,positivo
c07111b5-5cbe-4bc8-9331-62ff298de222,great get option choosing old classic song plus old classic sound,5,positivo
a3093558-cc5e-4212-84dd-73998b5e51bc,best game ever theres payment players,4,positivo
ce03e569-e3ea-451b-aaf6-dfbf1c307208,havent years started back recently big changes alot mor fun challenging pretty good far,4,positivo
d84e2460-e33f-499a-8f03-f1923f58296d,love game hate cant use play points game,4,negativo
a053492c-6292-4844-ad85-c13ec3cc16f2,twice gotten 60 winning streaks game locks reboots loose progress purchase coins win current game reboots wasted money recommend game bugs fixed,1,negativo
1971a61a-ca89-4857-8738-097c1ef0517f,best proper enjoying game get satisfied,3,positivo
f955af83-cb7f-4359-9704-d01b2d46e526,cool like fun continue play doesnt get old,4,positivo
c37f38c9-7519-47a0-957d-7e7fd6ec6f5b,something weirdmy friends namesetc blacked outalso bubble says many sugar stars blocks upper left sideso cant see everything cleare really nice gave free hour play june9 lives coming thru dont like new rule accept certain amount lives per dayplease go back thanks 4 hours free play reay like gummy dragons,4,positivo
f4de1395-f1bf-425e-b61b-40a21b6675d9,good fun semi addictive game,5,positivo
a6a30763-fcd6-4721-a359-a847f9c47c89,always gets stuck levels pushes buy something way continue pass levels disgusting,1,negativo
51f82936-da14-470b-915e-5435130196d0,love game interesting challenging times,5,positivo
c5b23a0a-89c3-4835-9113-3143cbd908f4,great game play rainy day,5,positivo
2afd104b-23a9-4852-97c8-9f8a09976acb,best relax swipe pis mind,4,positivo
925520f2-da3c-4cee-808d-6607750a2a18,enjoyable game cliches lot almost finished hard level didnt want take gold continue lost rewards able finish level cool guys,3,positivo
229ed215-971c-4418-a935-86133563e5af,good relaxing ads till,5,positivo
a4ca3131-4e4b-432c-b703-6742dc3819d7,playing since 2013 love game loads fun give helpful prizes well,5,positivo
07f43c81-e317-4858-a4e2-4cf6f8d7a4c6,long ads disturbing irritating hatest ads ever,1,negativo
bc8db413-d410-418e-a0de-122a50bc6035,love change gives recommend candy crush lot,5,positivo
be7a41da-14d5-4650-9b3c-ab17b233d168,give one rating due updation game stuck one level unable complete ad extra powerscoin moves difficult wait week also issue occur uninstall tiz game family members phone phone also,1,negativo
334b4d07-1116-4411-960c-05340912e657,intresting game time wasted type im enjoying much,5,positivo
cac686e8-1fd6-453a-bedf-f1d39f5ddf40,game jammed telling update new version game jammed telling update new version,1,negativo
87ca6b53-18dc-41a4-8af4-b341befb03dd,well frustrating game reach certain level less moves relax mind good bye frustrating levels poorly designed changes,1,negativo
05315ced-cea7-4b14-a759-a1c7d6f18460,super fun great music graphics,5,positivo
b90b062b-d5ec-43e7-a0c3-28f27fb421a0,good game time pass,5,positivo
258d0e31-8dfe-4907-a15d-c9382c108862,game froze lost 10 gold bars restart game already lost 10 gold bars didnt get response please return 20 gold bars fix issue,5,negativo
2e87101a-0fd9-41c3-97d7-50f590f23d30,good time pass game,5,positivo
e2775195-f2d0-4fec-8f61-91749fb8a325,candy crush saga india new,5,positivo
72e73856-2de8-4dfa-a298-28bc6c5dc664,best puzzle mobile game ive ever played,5,positivo
05e1e063-737b-4409-b7e3-65eb50d73488,lots bugs nowadays ads dont load frustrating game thats supposed stress reliever,2,negativo
24b1bc13-2156-4e73-b74a-b436a6e397c6,game ultimat awesome gaming,5,positivo
3f5c6aa8-b3d7-4248-91d4-e1fed477c483,fav time pass gane,5,neutral
329270ef-308a-4e69-9cb1-f212c125084f,addictive good fun really relaxing,5,positivo
5bf73fa6-5072-4e01-8589-484ef231ab1f,enjoying like anything superb,5,positivo
417074b7-e50b-457b-952e-49408db91e71,really really really really really love game,5,positivo
